hosp,cases,lineDays,sir,ciLow,ciHigh,area
DIGNITY HEALTH,1,1932,0.52,0.01,2.88,general medical/surgical care
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,general medical/surgical care
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,general medical/surgical care
DIGNITY HEALTH,5,5926,0.84,0.27,1.97,general medical/surgical care
"MERCY HOSP, BAKERSFIELD",,,,,,general medical/surgical care
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,general medical/surgical care
DOCTORS HOSP OF MANTECA,2,1363,1.47,0.18,5.30,general medical/surgical care
"DOCTORS HOSP OF WEST COVINA, INC, WEST COVINA",0,18,,,,general medical/surgical care
"DOCTORS MED CTR, MODESTO",0,552,0.00,0.00,5.43,general medical/surgical care
"DOCTORS MED CTR, SAN PABLO",0,78,0.00,0.00,38.41,general medical/surgical care
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",0,16,,,,general medical/surgical care
"EAST LOS ANGELES DOCTORS HOSP, LOS ANGELES",0,297,0.00,0.00,10.09,general medical/surgical care
"EAST VALLEY HOSP MED CTR, GLENDORA",0,82,0.00,0.00,36.53,general medical/surgical care
"EL CAMINO HOSP, LOS GATOS",0,657,0.00,0.00,4.56,general medical/surgical care
EL CENTRO REGIONAL MED CTR,1,1248,0.80,0.02,4.46,general medical/surgical care
"ENCINO HOSP MED CTR, ENCINO",0,555,0.00,0.00,5.40,general medical/surgical care
ENLOE MED CTR,0,1277,0.00,0.00,2.35,general medical/surgical care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,general medical/surgical care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,general medical/surgical care
"ENLOE REHABILITATION CTR, CHICO",,,,,,general medical/surgical care
"FAIRCHILD MED CTR, YREKA",0,190,0.00,0.00,15.77,general medical/surgical care
"FOOTHILL PRESBYTERIAN HSP-JOHNSTON MEMORIAL, GLENDORA",0,1297,0.00,0.00,2.31,general medical/surgical care
"FRANK R. HOWARD MEMORIAL HOSP, WILLITS",0,530,0.00,0.00,5.65,general medical/surgical care
FREMONT-RIDEOUT HEALTH GROUP,0,2344,0.00,0.00,1.28,general medical/surgical care
"FREMONT MED CTR, YUBA CITY",,,,,,general medical/surgical care
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",,,,,,general medical/surgical care
"FRENCH HOSP MED CTR, SAN LUIS OBISPO",1,438,2.28,0.06,12.72,general medical/surgical care
GARDEN GROVE HOSP AND MED CTR,5,1315,3.80,1.23,8.87,general medical/surgical care
"GARFIELD MED CTR, MONTEREY PARK",0,1112,0.00,0.00,2.69,general medical/surgical care
"GEORGE L. MEE MEMORIAL HOSP, KING CITY",0,126,0.00,0.00,23.78,general medical/surgical care
GLENDALE ADVENTIST MED CTR,0,85,0.00,0.00,35.24,general medical/surgical care
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,1442,0.00,0.00,2.08,general medical/surgical care
"GLENN MED CTR, WILLOWS",0,22,,,,general medical/surgical care
"GOLETA VALLEY COTTAGE HOSP, SANTA BARBARA",0,183,0.00,0.00,16.37,general medical/surgical care
"GOOD SAMARITAN HOSP, LOS ANGELES",0,573,0.00,0.00,5.23,general medical/surgical care
"GREATER EL MONTE COMMUNITY HOSP, SOUTH EL MONTE",0,802,0.00,0.00,3.74,general medical/surgical care
"GROSSMONT HOSP, LA MESA",3,4992,0.60,0.12,1.76,general medical/surgical care
"HAZEL HAWKINS MEMORIAL HOSP, HOLLISTER",0,379,0.00,0.00,7.90,general medical/surgical care
HEALDSBURG DISTRICT HOSP,0,384,0.00,0.00,7.80,general medical/surgical care
HEMET VALLEY MED CTR,0,991,0.00,0.00,3.02,general medical/surgical care
"HENRY MAYO NEWHALL MEMORIAL HOSP, VALENCIA",7,7629,0.92,0.37,1.89,general medical/surgical care
"HI-DESERT MED CTR, JOSHUA TREE",0,607,0.00,0.00,4.94,general medical/surgical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",11,10264,1.07,0.53,1.92,general medical/surgical care
"HOAG HOSPITAL, IRVINE",,,,,,general medical/surgical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,general medical/surgical care
HOLLYWOOD COMMUNITY HOSP OF HOLLYWOOD,2,895,2.23,0.27,8.07,general medical/surgical care
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,1632,0.00,0.00,1.84,general medical/surgical care
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,63,0.00,0.00,47.55,general medical/surgical care
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,general medical/surgical care
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,general medical/surgical care
HUNTINGTON BEACH HOSP,1,310,3.23 0.08,17.97,,general medical/surgical care
"JOHN D KLARICH MEMORIAL HOSP, CSP-CORCORAN",4,4238,0.94,0.26,2.42,general medical/surgical care
"JOHN MUIR MED CTR, CONCORD",1,55,18.18 0.46,101.30,,general medical/surgical care
"JOHN MUIR MED CTR, WALNUT CREEK",0,311,0.00,0.00,9.63,general medical/surgical care
"KAISER FOUNDATION HOSP, ANTIOCH",2,956,2.09,0.25,7.56,general medical/surgical care
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,2494,0.00,0.00,1.20,general medical/surgical care
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",4,4482,0.89,0.24,2.29,general medical/surgical care
"KAISER FOUNDATION HOSP, FRESNO",1,2043,0.49,0.01,2.73,general medical/surgical care
"KAISER FOUNDATION HOSP, LOS ANGELES",4,3106,1.29,0.35,3.30,general medical/surgical care
"KAISER FOUNDATION HOSP, MORENO VALLEY",1,601,1.66,0.04,9.27,general medical/surgical care
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,1772,0.00,0.00,1.69,general medical/surgical care
"KAISER FOUNDATION HOSP, REDWOOD CITY",0,1626,0.00,0.00,1.84,general medical/surgical care
"KAISER FOUNDATION HOSP, RIVERSIDE",1,6699,0.15,0.00,0.83,general medical/surgical care
"KAISER FOUNDATION HOSP, ROSEVILLE",2,5215,0.38,0.05,1.39,general medical/surgical care
"KAISER FOUNDATION HOSP, SACRAMENTO",5,5987,0.84,0.27,1.95,general medical/surgical care
"KAISER FOUNDATION HOSP, SAN DIEGO",1,1810,0.55,0.01,3.08,general medical/surgical care
"KAISER FOUNDATION HOSP, SAN FRANCISCO",4,4835,0.83,0.23,2.12,general medical/surgical care
KAISER FOUNDATION HOSP-SAN JOSE,0,659,0.00,0.00,4.55,general medical/surgical care
"KAISER FOUNDATION HOSP, SAN RAFAEL",1,2119,0.47,0.01,2.63,general medical/surgical care
KAISER FOUNDATION HOSP-SANTA CLARA,2,4202,0.48,0.06,1.72,general medical/surgical care
"KAISER FOUNDATION HOSP, SANTA ROSA",1,2744,0.36,0.01,2.03,general medical/surgical care
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",4,3241,1.23,0.34,3.16,general medical/surgical care
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,0,4146,0.00,0.00,0.72,general medical/surgical care
"KAISER FOUNDATION HOSP, SOUTH SAN FRANCISCO",1,1385,0.72,0.02,4.02,general medical/surgical care
"KAISER FOUNDATION HOSP, VACAVILLE",2,1479,1.35,0.16,4.88,general medical/surgical care
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",0,886,0.00,0.00,3.38,general medical/surgical care
KAISER FOUNDATION HOSP-WALNUT CREEK,7,5437,1.29,0.52,2.65,general medical/surgical care
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",0,667,0.00,0.00,4.49,general medical/surgical care
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,933,0.00,0.00,3.21,general medical/surgical care
KAISER FOUNDATION HOSPS,2,2578,0.78,0.09,2.80,general medical/surgical care
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,general medical/surgical care
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,general medical/surgical care
KAISER FOUNDATION HOSPS,,,,,,general medical/surgical care
"KAISER FOUNDATION HOSP, IRVINE",1,1968,0.51,0.01,2.83,general medical/surgical care
"KAISER FOUNDATION HOSP, ONTARIO",0,341,0.00,0.00,8.79,general medical/surgical care
KAISER FOUNDATION HOSPS,1,3475,0.29,0.01,1.60,general medical/surgical care
"KAISER FOUNDATION HOSP, FREMONT",,,,,,general medical/surgical care
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,general medical/surgical care
KAISER FOUNDATION HOSPS,0,2598,0.00,0.00,1.15,general medical/surgical care
"KAISER FOUNDATION HOSP, MODESTO",,,,,,general medical/surgical care
"KAISER FOUNDATION HOSP, MANTECA",,,,,,general medical/surgical care
KAISER FOUNDATION HOSPS,2,3773,0.53,0.06,1.91,general medical/surgical care
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,general medical/surgical care
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,general medical/surgical care
"KAWEAH DELTA MED CTR, VISALIA",5,7640,0.65,0.21,1.53,general medical/surgical care
"KECK HOSP OF USC, LOS ANGELES",6,9494,0.63,0.23,1.38,general medical/surgical care
"KERN MED CTR, BAKERSFIELD",3,3785,0.79,0.16,2.32,general medical/surgical care
"KERN VALLEY HEALTHCARE DISTRICT, LAKE ISABELLA",0,291,0.00,0.00,10.29,general medical/surgical care
LA PALMA INTERCOMMUNITY HOSP,0,883,0.00,0.00,3.39,general medical/surgical care
"LAC+USC MED CTR, LOS ANGELES",15,12077,1.24,0.70,2.05,general medical/surgical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",1,584,1.71,0.04,9.54,general medical/surgical care
"LAC/RANCHO LOS AMIGOS NATIONAL REHAB CTR, DOWNEY",0,2417,0.00,0.00,1.24,general medical/surgical care
LAKEWOOD REGIONAL MED CTR,3,2448,1.23,0.25,3.58,general medical/surgical care
"LODI MEMORIAL HOSP ASSOCIATION, INC.",0,52,0.00,0.00,57.61,general medical/surgical care
LODI MEMORIAL HOSP 1RH,,,,,,general medical/surgical care
LODI MEMORIAL HOSP-WEST,,,,,,general medical/surgical care
LOMA LINDA UNIVERSITY MED CTR,0,3690,0.00,0.00,0.81,general medical/surgical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,general medical/surgical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,general medical/surgical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,general medical/surgical care
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,0,841,0.00,0.00,3.56,general medical/surgical care
LOMPOC VALLEY MED CTR,0,679,0.00,0.00,4.41,general medical/surgical care
LOS ALAMITOS MED CTR,0,203,0.00,0.00,14.76,general medical/surgical care
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",1,3783,0.26,0.01,1.47,general medical/surgical care
LOS ANGELES METROPOLITAN MED CTR,2,509,3.93,0.48,14.19,general medical/surgical care
LOS ROBLES REGIONAL MED CTR,0,1423,0.00,0.00,2.11,general medical/surgical care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,general medical/surgical care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,general medical/surgical care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,general medical/surgical care
"MAD RIVER COMMUNITY HOSP, ARCATA",0,1028,0.00,0.00,2.91,general medical/surgical care
MADERA COMMUNITY HOSP,2,400,5.00,0.61,18.06,general medical/surgical care
MAMMOTH HOSP,0,40,,,,general medical/surgical care
MARIAN REGIONAL MEDICAL CENTER,,,,,,general medical/surgical care
MARIAN REGIONAL MEDICAL CENTER,0,880,0.00,0.00,3.40,general medical/surgical care
"MARIN GENERAL HOSP, GREENBRAE",7,2340,2.99,1.20,6.16,general medical/surgical care
MARINA DEL REY HOSP,0,445,0.00,0.00,6.73,general medical/surgical care
"MARK TWAIN MEDICAL CENTER, SAN ANDREAS",0,322,0.00,0.00,9.30,general medical/surgical care
"MARSHALL MED CTR 1-RH, PLACERVILLE",0,1224,0.00,0.00,2.45,general medical/surgical care
"MAYERS MEMORIAL HOSP, FALL RIVER MILLS",0,130,0.00,0.00,23.04,general medical/surgical care
MEMORIAL HOSP LOS BANOS,0,111,0.00,0.00,26.99,general medical/surgical care
MEMORIAL HOSP OF GARDENA,1,2236,0.45,0.01,2.49,general medical/surgical care
"MEMORIAL MED CTR, MODESTO",1,4912,0.20,0.01,1.13,general medical/surgical care
"MENDOCINO COAST DISTRICT HOSP, FORT BRAGG",2,597,3.35,0.41,12.10,general medical/surgical care
"MENIFEE VALLEY MED CTR, SUN CITY",0,370,0.00,0.00,8.10,general medical/surgical care
MERCY HOSP OF FOLSOM,0,1391,0.00,0.00,2.15,general medical/surgical care
MERCY MED CTR MT. SHASTA,0,34,,,,general medical/surgical care
MERCY MED CTR REDDING,0,672,0.00,0.00,4.46,general medical/surgical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",2,2088,0.96,0.12,3.46,general medical/surgical care
METHODIST HOSP OF SACRAMENTO,0,375,0.00,0.00,7.99,general medical/surgical care
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",1,847,1.18,0.03,6.58,general medical/surgical care
MILLS-PENINSULA HEALTH SERVICES,0,3316,0.00,0.00,0.90,general medical/surgical care
"MILLS HEALTH CTR, SAN MATEO",,,,,,general medical/surgical care
"MILLS-PENINSULA MED CTR, BURLINGAME",,,,,,general medical/surgical care
"MISSION COMMUNITY HOSP, PANORAMA",9,1195,7.53,3.44,14.30,general medical/surgical care
MISSION HOSP REGIONAL MED CTR,,,,,,general medical/surgical care
MISSION HOSP LAGUNA BEACH,1,516,1.94,0.05,10.80,general medical/surgical care
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",1,4700,0.21,0.01,1.19,general medical/surgical care
MONTCLAIR HOSP MED CTR,0,952,0.00,0.00,3.15,general medical/surgical care
MONTEREY PARK HOSP,0,280,0.00,0.00,10.70,general medical/surgical care
"NATIVIDAD MED CTR, SALINAS",0,1341,0.00,0.00,2.23,general medical/surgical care
NORTHBAY HEALTHCARE GROUP,,,,,,general medical/surgical care
"NORTHBAY MED CTR, FAIRFIELD",4,1967,2.03,0.55,5.21,general medical/surgical care
"NORTHBAY VACAVALLEY HOSP, VACAVILLE",0,1344,0.00,0.00,2.23,general medical/surgical care
"NORTHERN INYO HOSP, BISHOP",0,147,0.00,0.00,20.38,general medical/surgical care
NORTHRIDGE HOSP MED CTR,3,3423,0.88,0.18,2.56,general medical/surgical care
NOVATO COMMUNITY HOSP,0,312,0.00,0.00,9.60,general medical/surgical care
"O'CONNOR HOSP, SAN JOSE",1,1665,0.60,0.02,3.35,general medical/surgical care
"OAK VALLEY HOSP DISTRICT 2-RH, OAKDALE",0,265,0.00,0.00,11.30,general medical/surgical care
"OJAI VALLEY COMMUNITY HOSP, OJAI",0,182,0.00,0.00,16.46,general medical/surgical care
"OLYMPIA MED CTR, LOS ANGELES",3,1615,1.86,0.38,5.43,general medical/surgical care
OROVILLE HOSP,0,701,0.00,0.00,4.27,general medical/surgical care
PACIFIC ALLIANCE MED CTR,2,1670,1.20,0.15,4.33,general medical/surgical care
"PACIFICA HOSP OF THE VALLEY, SUN VALLEY",1,171,5.85,0.15,32.58,general medical/surgical care
"PALM DRIVE HOSP, SEBASTOPOL",0,336,0.00,0.00,8.92,general medical/surgical care
PALMDALE REGIONAL MEDICAL CTR,0,1730,0.00,0.00,1.73,general medical/surgical care
"PALO VERDE HOSP, BLYTHE",0,151,0.00,0.00,19.84,general medical/surgical care
PALOMAR HEALTH,0,1281,0.00,0.00,2.34,general medical/surgical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,general medical/surgical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,general medical/surgical care
"PARADISE VALLEY HOSP, NATIONAL CITY",0,491,0.00,0.00,6.10,general medical/surgical care
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,2700,0.00,0.00,1.11,general medical/surgical care
"PETALUMA VALLEY HOSP, PETALUMA",0,770,0.00,0.00,3.89,general medical/surgical care
"PIONEERS MEMORIAL HEALTHCARE DISTRICT, BRAWLEY",0,453,0.00,0.00,6.61,general medical/surgical care
PLACENTIA LINDA HOSP,0,434,0.00,0.00,6.90,general medical/surgical care
"PLUMAS DISTRICT HOSP, QUINCY",0,49,,,,general medical/surgical care
"POMERADO HOSP, POWAY",2,2517,0.79,0.10,2.87,general medical/surgical care
"POMONA VALLEY HOSP MED CTR, POMONA",5,9911,0.50,0.16,1.18,general medical/surgical care
PORTERVILLE DEVELOPMENTAL CTR,0,81,0.00,0.00,36.98,general medical/surgical care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",12,6384,1.88,0.97,3.28,general medical/surgical care
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, SAN PEDRO",2,2849,0.70,0.09,2.54,general medical/surgical care
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",7,6077,1.15,0.46,2.37,general medical/surgical care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",4,2826,1.42,0.39,3.62,general medical/surgical care
"PROVIDENCE TARZANA MED CTR, TARZANA",3,1629,1.84,0.38,5.38,general medical/surgical care
"QUEEN OF THE VALLEY MED CTR, NAPA",3,2616,1.15,0.24,3.35,general medical/surgical care
REDLANDS COMMUNITY HOSP,1,3060,0.33,0.01,1.82,general medical/surgical care
"REDWOOD MEMORIAL HOSP, FORTUNA",0,354,0.00,0.00,8.46,general medical/surgical care
REGIONAL MED CTR OF SAN JOSE,2,3558,0.56,0.07,2.03,general medical/surgical care
RIDGECREST REGIONAL HOSP,3,888,3.38,0.70,9.87,general medical/surgical care
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",3,2473,1.21,0.25,3.55,general medical/surgical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",10,5821,1.72,0.82,3.16,general medical/surgical care
SADDLEBACK MEMORIAL MED CTR,4,2175,1.84,0.50,4.71,general medical/surgical care
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,general medical/surgical care
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,general medical/surgical care
"SAINT AGNES MED CTR, FRESNO",3,1160,2.59,0.53,7.56,general medical/surgical care
"SAINT FRANCIS MED CTR, LYNWOOD",4,4289,0.93,0.25,2.39,general medical/surgical care
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",1,2317,0.43,0.01,2.40,general medical/surgical care
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",2,1870,1.07,0.13,3.86,general medical/surgical care
"SAINT VINCENT MED CTR, LOS ANGELES",3,2175,1.38,0.28,4.03,general medical/surgical care
SALINAS VALLEY MEMORIAL HOSP,8,2744,2.92,1.26,5.74,general medical/surgical care
"SAN ANTONIO COMMUNITY HOSP, UPLAND",2,3336,0.60,0.07,2.17,general medical/surgical care
SAN DIMAS COMMUNITY HOSP,1,708,1.41,0.04,7.87,general medical/surgical care
SAN FRANCISCO GENERAL HOSP,1,1525,0.66,0.02,3.65,general medical/surgical care
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",1,1496,0.67,0.02,3.72,general medical/surgical care
"SAN GORGONIO MEMORIAL HOSP, BANNING",2,1261,1.59,0.19,5.73,general medical/surgical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",17,6377,2.67,1.55,4.27,general medical/surgical care
"SAN JOAQUIN GENERAL HOSP, FRENCH P",5,4089,1.22,0.40,2.85,general medical/surgical care
SAN MATEO MED CTR,1,910,1.10,0.03,6.12,general medical/surgical care
"SAN RAMON REGIONAL MED CTR, INC.",1,554,1.81,0.05,10.06,general medical/surgical care
SAN RAMON REGIONAL MED CTR,,,,,,general medical/surgical care
SAN RAMON REGIONAL MED CTR SOUTH BUILDING,,,,,,general medical/surgical care
SANTA BARBARA COTTAGE HOSPITAL,0,1508,0.00,0.00,1.99,general medical/surgical care
SANTA BARBARA COTTAGE HOSP,,,,,,general medical/surgical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,general medical/surgical care
SANTA ROSA MEMORIAL HOSP,1,5391,0.19,0.00,1.03,general medical/surgical care
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,4,,,,general medical/surgical care
"SEQUOIA HOSP, REDWOOD CITY",1,1428,0.70,0.02,3.90,general medical/surgical care
SETON MED CTR,0,1521,0.00,0.00,1.97,general medical/surgical care
"SETON MED CTR-COASTSIDE, MOSS BEACH",,,,,,general medical/surgical care
"SETON MED CTR, DALY CITY",,,,,,general medical/surgical care
SHARP CHULA VISTA MED CTR,0,1430,0.00,0.00,2.09,general medical/surgical care
SHARP CORONADO HOSP AND HEALTHCARE CTR,0,319,0.00,0.00,9.39,general medical/surgical care
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,33,,,,general medical/surgical care
"SHARP MEMORIAL HOSP, SAN DIEGO",0,412,0.00,0.00,7.27,general medical/surgical care
"SHASTA REGIONAL MED CTR, REDDING",2,1219,1.64,0.20,5.93,general medical/surgical care
SHERMAN OAKS HOSP,0,238,0.00,0.00,12.59,general medical/surgical care
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE",1,596,1.68,0.04,9.35,general medical/surgical care
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",1,1256,0.80,0.02,4.44,general medical/surgical care
"SILVER LAKE MED CTR, LOS ANGELES",0,1035,0.00,0.00,2.89,general medical/surgical care
SIMI VALLEY HOSP & HEALTH CARE SERVICES,1,1228,0.81,0.02,4.54,general medical/surgical care
SONOMA VALLEY HOSP,0,249,0.00,0.00,12.03,general medical/surgical care
SONORA REGIONAL MED CTR,3,1262,2.38,0.49,6.95,general medical/surgical care
SONORA REGIONAL MED CTR CAMPUS #1,,,,,,general medical/surgical care
SONORA REGIONAL MED CTR CAMPUS #2,,,,,,general medical/surgical care
ST BERNARDINE MED CTR,6,8493,0.71,0.26,1.54,general medical/surgical care
"ST ELIZABETH COMMUNITY HOSP, RED BLUFF",1,403,2.48,0.06,13.83,general medical/surgical care
"ST HELENA HOSP, CLEARLAKE",0,428,0.00,0.00,7.00,general medical/surgical care
"ST HELENA HOSP, ST HELENA",0,1951,0.00,0.00,1.54,general medical/surgical care
"ST JOHN'S PLEASANT VALLEY HOSP, ARILLO",0,1243,0.00,0.00,2.41,general medical/surgical care
"ST JOHN'S REGIONAL MED CTR, OXNARD",1,1047,0.96,0.02,5.32,general medical/surgical care
ST JOSEPH HOSP EUREKA,,,,,,general medical/surgical care
"ST JOSEPH HOSP, EUREKA",0,2433,0.00,0.00,1.23,general medical/surgical care
"ST JOSEPH HOSP, ORANGE",0,72,0.00,0.00,41.61,general medical/surgical care
ST JOSEPH'S MED CTR OF STOCKTON,1,6079,0.16,0.00,0.92,general medical/surgical care
"ST JUDE MED CTR, FULLERTON",2,4697,0.43,0.05,1.54,general medical/surgical care
"ST MARY MED CTR, APPLE VALLEY",0,1347,0.00,0.00,2.22,general medical/surgical care
"ST MARY MED CTR, LONG BEACH",4,1235,3.24,0.88,8.29,general medical/surgical care
"ST MARY'S MED CTR, SAN FRANCISCO",0,1874,0.00,0.00,1.60,general medical/surgical care
"ST ROSE HOSP, HAYWARD",1,2130,0.47,0.01,2.62,general medical/surgical care
"STANFORD HOSP, STANFORD",1,2034,0.49,0.01,2.74,general medical/surgical care
"SUTTER AMADOR HOSP, JACKSON",0,1164,0.00,0.00,2.57,general medical/surgical care
"SUTTER AUBURN FAITH HOSP, AUBURN",0,1912,0.00,0.00,1.57,general medical/surgical care
"SUTTER DAVIS HOSPITAL, DAVIS",0,792,0.00,0.00,3.78,general medical/surgical care
SUTTER EAST BAY HOSPS CTR,13,6906,1.88,1.00,3.22,general medical/surgical care
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,general medical/surgical care
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,general medical/surgical care
SUTTER EAST BAY HOSPS CTR,7,10810,0.65,0.26,1.33,general medical/surgical care
"ALTA BATES SUMMIT MED CTR, OAKLAND",,,,,,general medical/surgical care
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND",,,,,,general medical/surgical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,10551,0.00,0.00,0.28,general medical/surgical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,general medical/surgical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,general medical/surgical care
"SUTTER LAKESIDE HOSP, LAKEPORT",0,571,0.00,0.00,5.25,general medical/surgical care
SUTTER MATERNITY & SURGERY CTR OF SANTA CRUZ,0,80,0.00,0.00,37.45,general medical/surgical care
"SUTTER MED CTR, CASTRO VALLEY",4,2557,1.56,0.43,4.01,general medical/surgical care
"EDEN MED CTR, CASTRO VALLEY",,,,,,general medical/surgical care
SAN LEANDRO HOSP,,,,,,general medical/surgical care
SUTTER MED CTR OF SANTA ROSA,1,1784,0.56,0.01,3.12,general medical/surgical care
SUTTER ROSEVILLE MED CTR,0,1295,0.00,0.00,2.31,general medical/surgical care
"SUTTER SOLANO MED CTR, VALLEJO",0,858,0.00,0.00,3.49,general medical/surgical care
SUTTER TRACY COMMUNITY HOSP,0,505,0.00,0.00,5.93,general medical/surgical care
SUTTER WEST BAY HOSPS,,,,,,general medical/surgical care
"CALIFORNIA PACIFIC MED CTR, DAVIES CAM HOSP, S F",2,2166,0.92,0.11,3.34,general medical/surgical care
SUTTER WEST BAY HOSPS,5,12441,0.40,0.13,0.94,general medical/surgical care
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,general medical/surgical care
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,general medical/surgical care
"TAHOE FOREST HOSP, TRUCKEE",0,13,,,,general medical/surgical care
"TEHACHAPI HOSP, TEHACHAPI",0,12,,,,general medical/surgical care
"TEMPLE COMMUNITY HOSP, LOS ANGELES",1,597,1.68,0.04,9.33,general medical/surgical care
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,5318,0.00,0.00,0.56,general medical/surgical care
"TRI-CITY MED CTR, OCEANSIDE",0,1259,0.00,0.00,2.38,general medical/surgical care
"TRI-CITY REGIONAL MED CTR, HAWAIIAN GARDENS",0,717,0.00,0.00,4.18,general medical/surgical care
"TRINITY HOSP, WEAVERVILLE",0,200,0.00,0.00,14.98,general medical/surgical care
TULARE REGIONAL MEDICAL CTR,6,2820,2.13,0.78,4.63,general medical/surgical care
"TWIN CITIES COMMUNITY HOSP, TEMPLETON",0,1029,0.00,0.00,2.91,general medical/surgical care
"UKIAH VALLEY MED CTR/HOSP DRIVE, UKIAH",0,719,0.00,0.00,4.17,general medical/surgical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",10,10596,0.94,0.45,1.74,general medical/surgical care
"UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS, INC.",1,3484,0.29,0.01,1.60,general medical/surgical care
"SOUTHWEST HEALTHCARE SYSTEMS, MURRIETA",,,,,,general medical/surgical care
"SOUTHWEST HEALTHCARE SYSTEMS, WILDOMAR",,,,,,general medical/surgical care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",10,8610,1.16,0.56,2.14,general medical/surgical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",21,17906,1.17,0.73,1.79,general medical/surgical care
