hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
MEMORIAL HOSP OF GARDENA,4,2228,1.80,0.49,4.60,96.7,medical/surgical critical care
"MEMORIAL MED CTR, MODESTO",0,6234,0.00,0.00,0.48,100,medical/surgical critical care
"MENDOCINO COAST DISTRICT HOSP, FORT BRAGG",1,217,4.61,0.12,25.68,77.3,medical/surgical critical care
"MENIFEE VALLEY MED CTR, SUN CITY",1,568,1.76,0.04,9.81,99.2,medical/surgical critical care
"MERCY GENERAL HOSP, SACRAMENTO",0,2233,0.00,0.00,1.34,87.4,medical/surgical critical care
MERCY HOSP OF FOLSOM,0,1560,0.00,0.00,1.92,98.5,medical/surgical critical care
MERCY MED CTR MERCED,4,1802,2.22,0.60,5.68,98.6,medical/surgical critical care
MERCY MED CTR MT. SHASTA,0,14,,,100,,medical/surgical critical care
MERCY MED CTR REDDING,3,1083,2.77,0.57,8.10,100,medical/surgical critical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",2,3149,0.64,0.08,2.29,99.6,medical/surgical critical care
METHODIST HOSP OF SACRAMENTO,3,3395,0.88,0.18,2.58,100,medical/surgical critical care
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",6,2626,2.28,0.84,4.97,98.4,medical/surgical critical care
MILLS-PENINSULA HEALTH SERVICES,0,2469,0.00,0.00,1.21,97.8,medical/surgical critical care
"MILLS HEALTH CTR, SAN MATEO",,,,,,,medical/surgical critical care
"MILLS-PENINSULA MED CTR, BURLINGAME",,,,,,,medical/surgical critical care
"MISSION COMMUNITY HOSP, PANORAMA",7,1198,5.84,2.35,12.04,ND,medical/surgical critical care
MISSION HOSP LAGUNA BEACH,1,516,1.94,0.05,10.80,100,medical/surgical critical care
MONTCLAIR HOSP MED CTR,0,478,0.00,0.00,6.27,68.3,medical/surgical critical care
MONTEREY PARK HOSP,0,817,0.00,0.00,3.67,98.2,medical/surgical critical care
"NATIVIDAD MED CTR, SALINAS",3,1429,2.10,0.43,6.14,98.7,medical/surgical critical care
NORTHBAY HEALTHCARE GROUP,,,,,,,medical/surgical critical care
"NORTHBAY MED CTR, FAIRFIELD",3,2011,1.49,0.31,4.36,99.7,medical/surgical critical care
"NORTHBAY VACAVALLEY HOSP, VACAVILLE",0,862,0.00,0.00,3.48,100,medical/surgical critical care
"NORTHERN INYO HOSP, BISHOP",0,26,,,100,,medical/surgical critical care
NORTHRIDGE HOSP MED CTR,9,2831,3.18,1.45,6.03,100,medical/surgical critical care
NOVATO COMMUNITY HOSP,0,489,0.00,0.00,6.13,100,medical/surgical critical care
"O'CONNOR HOSP, SAN JOSE",1,3370,0.30,0.01,1.65,93.1,medical/surgical critical care
"OAK VALLEY HOSP DISTRICT 2-RH, OAKDALE",0,128,0.00,0.00,23.40,100,medical/surgical critical care
"OLYMPIA MED CTR, LOS ANGELES",1,1339,0.75,0.02,4.16,ND,medical/surgical critical care
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,1832,0.00,0.00,1.64,98.7,medical/surgical critical care
OROVILLE HOSP,7,1525,4.59,1.85,9.46,100,medical/surgical critical care
PACIFIC ALLIANCE MED CTR,0,459,0.00,0.00,6.53,93.9,medical/surgical critical care
PACIFIC HOSP OF LONG BEACH,1,666,1.50,0.04,8.37,ND,medical/surgical critical care
"PACIFICA HOSP OF THE VALLEY, SUN VALLEY",5,975,5.13,1.67,11.97,90.1,medical/surgical critical care
"PALM DRIVE HOSP, SEBASTOPOL",0,211,0.00,0.00,14.20,93.3,medical/surgical critical care
PALMDALE REGIONAL MEDICAL CTR,0,2162,0.00,0.00,1.39,98.4,medical/surgical critical care
"PALO VERDE HOSP, BLYTHE",1,145,6.90,0.17,38.43,78.6,medical/surgical critical care
PALOMAR HEALTH,2,3933,0.51,0.06,1.84,100,medical/surgical critical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,,medical/surgical critical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,,medical/surgical critical care
"PARADISE VALLEY HOSP, NATIONAL CITY",3,1386,2.16,0.45,6.33,100,medical/surgical critical care
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",1,2700,0.37,0.01,2.06,100,medical/surgical critical care
"PETALUMA VALLEY HOSP, PETALUMA",0,296,0.00,0.00,10.12,100,medical/surgical critical care
"PIONEERS MEMORIAL HEALTHCARE DISTRICT, BRAWLEY",2,631,3.17,0.38,11.45,100,medical/surgical critical care
PLACENTIA LINDA HOSP,1,740,1.35,0.03,7.53,85.5,medical/surgical critical care
"POMERADO HOSP, POWAY",0,1809,0.00,0.00,1.66,99.2,medical/surgical critical care
"POMONA VALLEY HOSP MED CTR, POMONA",12,6452,1.86,0.96,3.25,90.7,medical/surgical critical care
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",1,2975,0.34,0.01,1.87,99.7,medical/surgical critical care
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",5,5577,0.90,0.29,2.09,100,medical/surgical critical care
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, SAN PEDRO",0,1387,0.00,0.00,2.16,96.2,medical/surgical critical care
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",3,4483,0.67,0.14,1.96,99.6,medical/surgical critical care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",15,4881,3.07,1.72,5.07,95.5,medical/surgical critical care
"PROVIDENCE TARZANA MED CTR, TARZANA",1,1179,0.85,0.02,4.73,99.3,medical/surgical critical care
"QUEEN OF THE VALLEY MED CTR, NAPA",3,2245,1.34,0.28,3.91,87.7,medical/surgical critical care
REDLANDS COMMUNITY HOSP,1,3060,0.33,0.01,1.82,98.8,medical/surgical critical care
"REDWOOD MEMORIAL HOSP, FORTUNA",0,224,0.00,0.00,13.37,94.1,medical/surgical critical care
RIDGECREST REGIONAL HOSP,0,163,0.00,0.00,18.38,90.6,medical/surgical critical care
RIVERSIDE COMMUNITY HOSP,0,625,0.00,0.00,4.79,96.6,medical/surgical critical care
SADDLEBACK MEMORIAL MED CTR,2,3329,0.60,0.07,2.17,98.9,medical/surgical critical care
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,medical/surgical critical care
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,medical/surgical critical care
"SAINT FRANCIS MED CTR, LYNWOOD",6,4106,1.46,0.54,3.18,94.4,medical/surgical critical care
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",0,2236,0.00,0.00,1.34,96.8,medical/surgical critical care
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",1,2954,0.34,0.01,1.89,100,medical/surgical critical care
"SAINT LOUISE REGIONAL HOSP, GILROY",0,1035,0.00,0.00,2.89,98.1,medical/surgical critical care
"SAINT VINCENT MED CTR, LOS ANGELES",1,1930,0.52,0.01,2.89,97.8,medical/surgical critical care
SALINAS VALLEY MEMORIAL HOSP,1,2376,0.42,0.01,2.34,100,medical/surgical critical care
"SAN ANTONIO COMMUNITY HOSP, UPLAND",1,4122,0.24,0.01,1.35,94.6,medical/surgical critical care
SAN DIMAS COMMUNITY HOSP,0,749,0.00,0.00,4.00,98.7,medical/surgical critical care
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",2,1607,1.24,0.15,4.50,98.2,medical/surgical critical care
"SAN GORGONIO MEMORIAL HOSP, BANNING",0,880,0.00,0.00,3.40,99.1,medical/surgical critical care
SAN MATEO MED CTR,0,697,0.00,0.00,4.30,68.4,medical/surgical critical care
"SAN RAMON REGIONAL MED CTR, INC.",0,818,0.00,0.00,3.66,100,medical/surgical critical care
SAN RAMON REGIONAL MED CTR,,,,,,,medical/surgical critical care
SAN RAMON REGIONAL MED CTR SOUTH BUILDING,,,,,,,medical/surgical critical care
SANTA ROSA MEMORIAL HOSP,0,5343,0.00,0.00,0.56,99.7,medical/surgical critical care
"SANTA YNEZ VALLEY COTTAGE HOSP, SOLVANG",0,68,0.00,0.00,44.05,100,medical/surgical critical care
"SCRIPPS GREEN HOSP, LA JOLLA",2,4225,0.47,0.06,1.71,100,medical/surgical critical care
"SCRIPPS MEMORIAL HOSP, ENCINITAS",0,1423,0.00,0.00,2.11,100,medical/surgical critical care
"SCRIPPS MEMORIAL HOSP, LA JOLLA",1,1460,0.68,0.02,3.82,98.9,medical/surgical critical care
"SEQUOIA HOSP, REDWOOD CITY",1,1714,0.58,0.01,3.25,98.3,medical/surgical critical care
SETON MED CTR,4,2660,1.50,0.41,3.85,94.3,medical/surgical critical care
"SETON MED CTR-COASTSIDE, MOSS BEACH",,,,,,,medical/surgical critical care
"SETON MED CTR, DALY CITY",,,,,,,medical/surgical critical care
SHARP CHULA VISTA MED CTR,7,4072,1.72,0.69,3.54,97.2,medical/surgical critical care
SHERMAN OAKS HOSP,7,1342,5.22,2.10,10.75,97.8,medical/surgical critical care
"SIERRA NEVADA MEMORIAL HOSP, GRASS VALLEY",0,794,0.00,0.00,3.77,100,medical/surgical critical care
"SIERRA VIEW DISTRICT HOSP, PORTERVILLE",3,744,4.03,0.83,11.78,93.5,medical/surgical critical care
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,952,0.00,0.00,3.15,97.9,medical/surgical critical care
"SILVER LAKE MED CTR, LOS ANGELES",0,1224,0.00,0.00,2.45,98.4,medical/surgical critical care
SIMI VALLEY HOSP & HEALTH CARE SERVICES,1,1066,0.94,0.02,5.23,97.1,medical/surgical critical care
SONOMA VALLEY HOSP,0,217,0.00,0.00,13.81,100,medical/surgical critical care
SONORA REGIONAL MED CTR,1,629,1.59,0.04,8.86,97.1,medical/surgical critical care
SONORA REGIONAL MED CTR CAMPUS #1,,,,,,,medical/surgical critical care
SONORA REGIONAL MED CTR CAMPUS #2,,,,,,,medical/surgical critical care
ST BERNARDINE MED CTR,12,8430,1.42,0.74,2.49,99.0,medical/surgical critical care
"ST HELENA HOSP, CLEARLAKE",0,340,0.00,0.00,8.81,81.1,medical/surgical critical care
"ST HELENA HOSP, ST HELENA",1,1920,0.52,0.01,2.90,61.3,medical/surgical critical care
"ST JOHN'S PLEASANT VALLEY HOSP, ARILLO",0,946,0.00,0.00,3.17,100,medical/surgical critical care
"ST JOHN'S REGIONAL MED CTR, OXNARD",4,1534,2.61,0.71,6.68,100,medical/surgical critical care
ST JOSEPH HOSP EUREKA,.,.,.,.,,,medical/surgical critical care
"ST JOSEPH HOSP, EUREKA",1,1180,0.85,0.02,4.72,99.5,medical/surgical critical care
"ST JUDE MED CTR, FULLERTON",2,5245,0.38,0.05,1.38,100,medical/surgical critical care
"ST MARY MED CTR, APPLE VALLEY",2,3512,0.57,0.07,2.06,97.0,medical/surgical critical care
"ST MARY MED CTR, LONG BEACH",2,2491,0.80,0.10,2.90,86.4,medical/surgical critical care
"ST MARY'S MED CTR, SAN FRANCISCO",0,1303,0.00,0.00,2.30,100,medical/surgical critical care
"ST ROSE HOSP, HAYWARD",0,424,0.00,0.00,7.07,100,medical/surgical critical care
"SUTTER AMADOR HOSP, JACKSON",0,716,0.00,0.00,4.18,94.4,medical/surgical critical care
"SUTTER AUBURN FAITH HOSP, AUBURN",0,943,0.00,0.00,3.18,100,medical/surgical critical care
"SUTTER COAST HOSP, CRESCENT CITY",0,266,0.00,0.00,11.26,100,medical/surgical critical care
"SUTTER DAVIS HOSPITAL, DAVIS",0,466,0.00,0.00,6.43,88.5,medical/surgical critical care
"SUTTER DELTA MED CTR, ANTIOCH",2,1485,1.35,0.16,4.87,100,medical/surgical critical care
SUTTER EAST BAY HOSPS CTR,7,2871,2.44,0.98,5.02,99.7,medical/surgical critical care
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,medical/surgical critical care
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,medical/surgical critical care
SUTTER EAST BAY HOSPS CTR,6,6200,0.97,0.36,2.11,98.3,medical/surgical critical care
"ALTA BATES SUMMIT MED CTR, OAKLAND",,,,,,,medical/surgical critical care
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND",,,,,,,medical/surgical critical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,3,6644,0.45,0.09,1.32,98.2,medical/surgical critical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,medical/surgical critical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,medical/surgical critical care
"SUTTER LAKESIDE HOSP, LAKEPORT",0,466,0.00,0.00,6.43,ND,medical/surgical critical care
"SUTTER MED CTR, CASTRO VALLEY",2,3493,0.57,0.07,2.07,100,medical/surgical critical care
"EDEN MED CTR, CASTRO VALLEY",,,,,,,medical/surgical critical care
SAN LEANDRO HOSP,,,,,,,medical/surgical critical care
SUTTER ROSEVILLE MED CTR,0,2201,0.00,0.00,1.36,98.9,medical/surgical critical care
"SUTTER SOLANO MED CTR, VALLEJO",1,1622,0.62,0.02,3.44,95.9,medical/surgical critical care
SUTTER TRACY COMMUNITY HOSP,1,1003,1.00,0.03,5.55,95.3,medical/surgical critical care
SUTTER WEST BAY HOSPS,,,,,,,medical/surgical critical care
"CALIFORNIA PACIFIC MED CTR, DAVIES CAM HOSP, S F",1,1318,0.76,0.02,4.23,100,medical/surgical critical care
SUTTER WEST BAY HOSPS,5,6135,0.81,0.26,1.90,100,medical/surgical critical care
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,medical/surgical critical care
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,medical/surgical critical care
"TAHOE FOREST HOSP, TRUCKEE",0,136,0.00,0.00,22.03,100,medical/surgical critical care
"TEMPLE COMMUNITY HOSP, LOS ANGELES",0,377,0.00,0.00,7.95,100,medical/surgical critical care
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,6602,0.00,0.00,0.45,100,medical/surgical critical care
"TRI-CITY MED CTR, OCEANSIDE",2,3764,0.53,0.06,1.92,94.6,medical/surgical critical care
TULARE REGIONAL MEDICAL CTR,0,910,0.00,0.00,3.29,100,medical/surgical critical care
"TWIN CITIES COMMUNITY HOSP, TEMPLETON",2,905,2.21,0.27,7.98,98.1,medical/surgical critical care
"UHS-CORONA, INC.",1,1683,0.59,0.02,3.31,100,medical/surgical critical care
"CORONA REGIONAL MED CTR, CAMPUS #1",,,,,,,medical/surgical critical care
"CORONA REGIONAL MED CTR, CAMPUS #2",,,,,,,medical/surgical critical care
"UKIAH VALLEY MED CTR/HOSP DRIVE, UKIAH",0,255,0.00,0.00,11.75,94.3,medical/surgical critical care
"UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS, INC.",1,2731,0.37,0.01,2.04,99.3,medical/surgical critical care
"SOUTHWEST HEALTHCARE SYSTEMS, MURRIETA",,,,,,,medical/surgical critical care
"SOUTHWEST HEALTHCARE SYSTEMS, WILDOMAR",,,,,,,medical/surgical critical care
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",7,2814,2.49,1.00,5.13,94.4,medical/surgical critical care
"VERDUGO HILLS HOSP, GLENDALE",0,759,0.00,0.00,3.95,100,medical/surgical critical care
"VICTOR VALLEY COMMUNITY HOSP, VICTORVILLE",0,400,0.00,0.00,7.49,100,medical/surgical critical care
"WASHINGTON HOSP, FREMONT",5,4992,1.00,0.33,2.34,99.8,medical/surgical critical care
WATSONVILLE COMMUNITY HOSP,0,530,0.00,0.00,5.65,98.2,medical/surgical critical care
"WEST ANAHEIM MED CTR, ANAHEIM",1,889,1.12,0.03,6.27,100,medical/surgical critical care
WEST HILLS HOSP AND MED CTR,4,3695,1.08,0.29,2.77,98.8,medical/surgical critical care
WESTERN MED CTR ANAHEIM,1,1077,0.93,0.02,5.17,98.6,medical/surgical critical care
WESTERN MED CTR SANTA ANA,6,3309,1.81,0.67,3.95,91.6,medical/surgical critical care
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,2332,0.00,0.00,1.28,90.2,medical/surgical critical care
WOODLAND MEMORIAL HOSP,1,1383,0.72,0.02,4.03,98.4,medical/surgical critical care
STATE OF CALIFORNIA POOLED DATA,146,165597,0.88,97.3,,,surgical critical care
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",2,2138,0.94,0.11,3.38,100,surgical critical care
"ALVARADO HOSP, LLC",3,1314,2.28,0.47,6.67,100,surgical critical care
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",,,,,,,surgical critical care
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",,,,,,,surgical critical care
"ARROWHEAD RGN MED CTR, COLTON",8,2681,2.98,1.29,5.88,97.1,surgical critical care
"BROTMAN MED CTR, CULVER CITY",1,1441,0.69,0.02,3.87,100,surgical critical care
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,90,0.00,0.00,33.29,100,surgical critical care
"CEDARS-SINAI MED CTR, LOS ANGELES",7,11112,0.63,0.25,1.30,97.4,surgical critical care
"COMMUNITY REGIONAL MED CTR, FRESNO",2,2059,0.97,0.12,3.51,94.1,surgical critical care
"DESERT VALLEY HOSP, VICTORVILLE",0,880,0.00,0.00,3.40,100,surgical critical care
"DOCTORS MED CTR, MODESTO",1,3599,0.28,0.01,1.55,94.9,surgical critical care
"DOCTORS MED CTR, SAN PABLO",0,48,,,100,,surgical critical care
"EISENHOWER MED CTR, RANCHO MIRAGE",0,674,0.00,0.00,4.44,100,surgical critical care
ENLOE MED CTR,0,1115,0.00,0.00,2.69,97.7,surgical critical care
"ENLOE MED CTR-COHASSET, CHICO",,,,,,,surgical critical care
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,,surgical critical care
"ENLOE REHABILITATION CTR, CHICO",,,,,,,surgical critical care
FREMONT-RIDEOUT HEALTH GROUP,2,2305,0.87,0.11,3.13,35.6,surgical critical care
"FREMONT MED CTR, YUBA CITY",,,,,,,surgical critical care
"RIDEOUT MEMORIAL HOSP, MARYSVILLE",,,,,,,surgical critical care
"GOOD SAMARITAN HOSP, LOS ANGELES",1,1537,0.65,0.02,3.63,100,surgical critical care
"GROSSMONT HOSP, LA MESA",5,4851,1.03,0.33,2.41,99.6,surgical critical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",1,1515,0.66,0.02,3.68,99.5,surgical critical care
"HOAG HOSPITAL, IRVINE",,,,,,,surgical critical care
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,surgical critical care
"JOHN MUIR MED CTR, CONCORD",4,1747,2.29,0.62,5.86,94.9,surgical critical care
"KAISER FOUNDATION HOSP, LOS ANGELES",1,6079,0.16,0.00,0.92,99.5,surgical critical care
"KAISER FOUNDATION HOSP, SACRAMENTO",2,2474,0.81,0.10,2.92,98.3,surgical critical care
"KAISER FOUNDATION HOSP, SAN DIEGO",0,3170,0.00,0.00,0.95,98.9,surgical critical care
"KAISER FOUNDATION HOSP, SAN FRANCISCO",1,2534,0.39,0.01,2.20,100,surgical critical care
KAISER FOUNDATION HOSP-SANTA CLARA,1,2027,0.49,0.01,2.75,96.3,surgical critical care
"KECK HOSP OF USC, LOS ANGELES",11,8111,1.36,0.68,2.43,99.1,surgical critical care
"LAC+USC MED CTR, LOS ANGELES",4,5801,0.69,0.19,1.77,99.7,surgical critical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",1,1582,0.63,0.02,3.52,96.6,surgical critical care
LOMA LINDA UNIVERSITY MED CTR,6,4484,1.34,0.49,2.91,91.8,surgical critical care
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,surgical critical care
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,surgical critical care
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,surgical critical care
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",5,3400,1.47,0.48,3.43,99.9#,surgical critical care
LOS ROBLES REGIONAL MED CTR,3,2580,1.16,0.24,3.40,94.7,surgical critical care
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,surgical critical care
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,surgical critical care
THOUSAND OAKS SURGICAL HOSPITAL,,,,,,,surgical critical care
"MERCY GENERAL HOSP, SACRAMENTO",0,5955,0.00,0.00,0.50,90.0,surgical critical care
MERCY MED CTR REDDING,0,582,0.00,0.00,5.15,100,surgical critical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,1292,0.00,0.00,2.32,98.7,surgical critical care
MISSION HOSP REGIONAL MED CTR,,,,,,,surgical critical care
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",1,3868,0.26,0.01,1.44,99.4,surgical critical care
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",3,1348,2.23,0.46,6.50,93.9,surgical critical care
REGIONAL MED CTR OF SAN JOSE,4,3226,1.24,0.34,3.17,97.4,surgical critical care
RIVERSIDE COMMUNITY HOSP,0,3977,0.00,0.00,0.75,100,surgical critical care
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",20,13432,1.49,0.91,2.30,97.4,surgical critical care
"SAINT AGNES MED CTR, FRESNO",2,1752,1.14,0.14,4.12,97.4,surgical critical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",4,2122,1.89,0.51,4.83,80.6,surgical critical care
SANTA BARBARA COTTAGE HOSPITAL,2,3821,0.52,0.06,1.89,98.8,surgical critical care
SANTA BARBARA COTTAGE HOSP,,,,,,,surgical critical care
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,surgical critical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,1387,0.00,0.00,2.16,94.6,surgical critical care
SCRIPPS HEALTH,7,2012,3.48,1.40,7.17,100,surgical critical care
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,surgical critical care
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,surgical critical care
"SCRIPPS MEMORIAL HOSP, LA JOLLA",4,3807,1.05,0.29,2.69,97.8,surgical critical care
SHARP CHULA VISTA MED CTR,1,740,1.35,0.03,7.53,97.2,surgical critical care
"SHARP MEMORIAL HOSP, SAN DIEGO",2,3701,0.54,0.07,1.95,99.6,surgical critical care
"ST JOSEPH HOSP, ORANGE",0,1600,0.00,0.00,1.87,92.5,surgical critical care
ST JOSEPH'S MED CTR OF STOCKTON,0,1972,0.00,0.00,1.52,98.1,surgical critical care
"STANFORD HOSP, STANFORD",4,6096,0.66,0.18,1.68,99.8,surgical critical care
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,3777,0.00,0.00,0.79,97.3,surgical critical care
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,surgical critical care
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,surgical critical care
"SUTTER MED CTR, CASTRO VALLEY",0,685,0.00,0.00,4.37,100,surgical critical care
"EDEN MED CTR, CASTRO VALLEY",,,,,,,surgical critical care
SAN LEANDRO HOSP,,,,,,,surgical critical care
SUTTER MED CTR OF SANTA ROSA,1,2284,0.44,0.01,2.44,98.1,surgical critical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",3,2404,1.25,0.26,3.65,96.8,surgical critical care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,2464,0.00,0.00,1.22,99.5,surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",8,3045,2.63,1.13,5.18,98.4,surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,surgical critical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,surgical critical care
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",8,6900,1.16,0.50,2.28,98.8,surgical critical care
"UCSF MED CTR, SAN FRANCISCO",,,,,,,surgical critical care
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,surgical critical care
STATE OF CALIFORNIA POOLED DATA,37,12772,2.90,97.1,,,burn critical care
"ARROWHEAD RGN MED CTR, COLTON",0,480,0.00,0.00,6.24,100,burn critical care
"COMMUNITY REGIONAL MED CTR, FRESNO",9,1742,5.17,2.36,9.81,85.7,burn critical care
"LAC+USC MED CTR, LOS ANGELES",0,1033,0.00,0.00,2.90,100,burn critical care
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",4,1207,3.31,0.90,8.49,97.6,burn critical care
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",5,219,22.83,7.41,53.28,60.0,burn critical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",1,491,2.04,0.05,11.35,97.0,burn critical care
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,1263,0.00,0.00,2.37,ND,burn critical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",7,3026,2.31,0.93,4.77,97.2,burn critical care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",3,1335,2.25,0.46,6.57,100,burn critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",5,1425,3.51,1.14,8.19,98.6,burn critical care
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,burn critical care
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,burn critical care
WEST HILLS HOSP AND MED CTR,3,453,6.62,1.37,19.35,100,burn critical care
WESTERN MED CTR SANTA ANA,0,98,0.00,0.00,30.57,100,burn critical care
STATE OF CALIFORNIA POOLED DATA,23,24280,0.95,97.7,,,trauma critical care
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,1194,0.00,0.00,2.51,93.2,trauma critical care
"LAC/HARBOR-UCLA MED CTR, TORRANCE",6,2118,2.83,1.04,6.17,93.9,trauma critical care
MERCY MED CTR REDDING,0,1408,0.00,0.00,2.13,100,trauma critical care
"MERCY SAN JUAN MED CTR, CARMICHAEL",1,1061,0.94,0.02,5.25,99.3,trauma critical care
PALOMAR HEALTH,1,1613,0.62,0.02,3.45,100,trauma critical care
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",,,,,,,trauma critical care
"PALOMAR MED CTR, ESCONDIDO",,,,,,,trauma critical care
REGIONAL MED CTR OF SAN JOSE,1,1601,0.62,0.02,3.48,ND,trauma critical care
SAN FRANCISCO GENERAL HOSP,2,2916,0.69,0.08,2.48,98.3,trauma critical care
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,1051,0.00,0.00,2.85,97.7,trauma critical care
"SCRIPPS MEMORIAL HOSP, LA JOLLA",2,2013,0.99,0.12,3.59,98.5,trauma critical care
SUTTER ROSEVILLE MED CTR,0,1553,0.00,0.00,1.93,98.7,trauma critical care
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",5,3930,1.27,0.41,2.97,96.7,trauma critical care
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",5,3822,1.31,0.42,3.05,98.8,trauma critical care
STATE OF CALIFORNIA POOLED DATA,8,5622,1.42,97.1,,,long term acute critical care
"BARLOW RESPIRATORY HOSP, LOS ANGELES",3,701,4.28 0.88,12.51,100,,long term acute critical care
"KINDRED HOSP-SACRAMENTO, FOLSOM",1,2012,0.50 0.01,2.77,100,,long term acute critical care
"KINDRED HOSP-SAN FRANCISCO BAY AREA, SAN LEANDRO",1,1650,0.6,0.02,3.38,94.7,long term acute critical care
"VIBRA HOSP OF SAN DIEGO, SAN DIEGO",3,1259,2.4,0.49,6.96,95.8,long term acute critical care
STATE OF CALIFORNIA POOLED DATA,96,74987,1.28,95.4,,,pediatric critical care
BAKERSFIELD MEMORIAL HOSP,0,92,0.00,0.00,32.56,100,pediatric critical care
